Name,Age,Tm,G,PA,WAR,Salary,Pos Summary,Name-additional,Year
José Abreu,35,CHW,157,679.0,4.2,19666667.0,*3D,abreujo02,2022
Ronald Acuna Jr.,24,ATL,119,533.0,2.7,15000000.0,9D/H8,acunaro01,2022
Willy Adames,26,MIL,139,617.0,4.4,4600000.0,*6/DH,adamewi01,2022
Jesús Aguilar,32,2TM,129,507.0,-1.0,7300000.0,/D3H,aguilje01,2022
Pete Alonso,27,NYM,160,685.0,4.4,7400000.0,*3D,alonspe01,2022
Jose Altuve,32,HOU,141,604.0,5.1,29000000.0,*4/HD,altuvjo01,2022
Yordan Alvarez*,25,HOU,135,561.0,6.8,764600.0,D7/H,alvaryo01,2022
Elvis Andrus,33,2TM,149,577.0,3.0,14250000.0,*6/HD,andruel01,2022
Nolan Arenado,31,STL,148,620.0,7.9,35000000.0,*5D/H,arenano01,2022
Luis Arraez*,25,MIN,144,603.0,4.3,2125000.0,34DH/5,arraelu01,2022
Javier Báez,29,DET,144,590.0,2.6,20000000.0,*6D/H,baezja01,2022
Josh Bell#,29,2TM,156,647.0,3.0,10000000.0,*3D/H,belljo02,2022
Cody Bellinger*,26,LAD,144,550.0,1.2,17000000.0,*8/H,bellico01,2022
Andrew Benintendi*,27,2TM,126,521.0,3.2,8500000.0,*7/HD,beninan01,2022
Mookie Betts,29,LAD,142,639.0,6.4,22916666.0,*9/4HD,bettsmo01,2022
Charlie Blackmon*,35,COL,135,577.0,-0.2,21000000.0,D9/H,blackch02,2022
Xander Bogaerts,29,BOS,150,631.0,5.9,20000000.0,*6/DH,bogaexa01,2022
Alex Bregman,28,HOU,155,656.0,4.5,13000000.0,*5/H,bregmal01,2022
Mark Canha,33,NYM,140,542.0,2.5,13000000.0,*7H8/9D35,canhama01,2022
Nick Castellanos,30,PHI,136,558.0,0.0,20000000.0,*9D/7H,casteni01,2022
Matt Chapman,29,TOR,155,621.0,3.5,12500000.0,*5/HD,chapmma01,2022
Carlos Correa,27,MIN,136,590.0,5.5,35100000.0,*6/DH,correca01,2022
J.P. Crawford*,27,SEA,145,603.0,2.7,6000000.0,*6/H,crawfjp01,2022
C.J. Cron,32,COL,150,632.0,2.1,7250000.0,*3D/H,croncj01,2022
Nelson Cruz,41,WSN,124,507.0,0.1,12000000.0,*D/H,cruzne02,2022
Rafael Devers*,25,BOS,141,614.0,4.4,11200000.0,*5/DH,deverra01,2022
Yandy Díaz,30,TBR,137,558.0,3.4,2800000.0,53DH,diazya01,2022
Josh Donaldson,36,NYY,132,546.0,2.3,21750000.0,5D/H,donaljo02,2022
Brandon Drury,29,2TM,138,568.0,2.6,700000.0,534D/H69,drurybr01,2022
Eduardo Escobar#,33,NYM,136,542.0,1.2,10000000.0,*5/DH4,escobed01,2022
Kyle Farmer,31,CIN,145,583.0,1.0,3155000.0,65D/H3,farmeky01,2022
Wilmer Flores,30,SFG,151,602.0,0.7,3500000.0,435DH,florewi01,2022
Adam Frazier*,30,SEA,156,602.0,0.7,8000000.0,*497H/D68,fraziad01,2022
Freddie Freeman*,32,LAD,159,708.0,5.9,27000000.0,*3,freemfr01,2022
Paul Goldschmidt,34,STL,151,651.0,7.8,26000000.0,*3D/H,goldspa01,2022
Vladimir Guerrero Jr.,23,TOR,160,706.0,3.9,7900000.0,*3D/H5,guerrvl02,2022
Yuli Gurriel,38,HOU,146,584.0,-0.3,8000000.0,*3/DH,gourryu01,2022
Ian Happ#,27,CHC,158,641.0,4.4,6850000.0,*7D/H8,happia01,2022
Ke'Bryan Hayes,25,PIT,136,560.0,4.3,10000000.0,*5/H6D,hayeske01,2022
César Hernández#,32,WSN,147,617.0,0.8,4000000.0,*47/5H,hernace02,2022
Teoscar Hernández,29,TOR,131,535.0,2.8,10650000.0,*9D/7H,hernate01,2022
Rhys Hoskins,29,PHI,156,672.0,2.9,7700000.0,*3/DH,hoskirh01,2022
Aaron Judge,30,NYY,157,696.0,10.6,19000000.0,*89D/H,judgeaa01,2022
Tony Kemp*,30,OAK,147,558.0,1.1,2250000.0,47H/D,kempto01,2022
Ha-Seong Kim,26,SDP,150,582.0,5.0,6000000.0,*65/H,kimha01,2022
Isiah Kiner-Falefa,27,NYY,142,531.0,3.0,4700000.0,*6/5H,kineris01,2022
DJ LeMahieu,33,NYY,125,541.0,3.7,15000000.0,543/HD,lemahdj01,2022
Francisco Lindor#,28,NYM,161,706.0,5.5,34100000.0,*6/D,lindofr01,2022
Manny Machado,29,SDP,150,644.0,6.8,32000000.0,*5D/H,machama01,2022
Trey Mancini,30,2TM,143,587.0,1.4,7500000.0,D379/H,mancitr01,2022
Ketel Marte#,28,ARI,137,558.0,1.5,8400000.0,4D/H,marteke01,2022
Starling Marte,33,NYM,118,505.0,3.8,15750000.0,*9/8HD,martest01,2022
J.D. Martinez,34,BOS,139,596.0,1.1,19350000.0,*D,martijd02,2022
Andrew McCutchen,35,MIL,134,580.0,1.2,8500000.0,D79/8H,mccutan01,2022
Ryan McMahon*,27,COL,153,597.0,3.0,5000000.0,*54/H3D,mcmahry01,2022
Jeff McNeil*,30,NYM,148,589.0,5.7,3000000.0,479/DH5,mcneije01,2022
Whit Merrifield,33,2TM,139,550.0,0.0,7000000.0,498/HD731,merriwh01,2022
Max Muncy*,31,LAD,136,565.0,2.7,13000000.0,54D/H3,muncyma01,2022
Brandon Nimmo*,29,NYM,151,673.0,5.1,7000000.0,*8,nimmobr01,2022
Shohei Ohtani*,27,LAA,157,666.0,3.4,5500000.0,*D1/H,ohtansh01,2022
Matt Olson*,28,ATL,162,699.0,3.4,15000000.0,*3,olsonma02,2022
Marcell Ozuna,31,ATL,124,507.0,-0.8,16000000.0,D7,ozunama01,2022
Tommy Pham,34,2TM,144,622.0,0.4,6000000.0,7/D,phamth01,2022
Jurickson Profar#,29,SDP,152,658.0,3.1,8000000.0,*7/DH,profaju01,2022
José Ramírez#,29,CLE,157,685.0,6.0,22000000.0,*5D,ramirjo01,2022
J.T. Realmuto,31,PHI,139,562.0,6.5,23875000.0,*2/H3D,realmjt01,2022
Hunter Renfroe,30,MIL,125,522.0,2.7,7650000.0,*9/D3,renfrhu01,2022
Bryan Reynolds#,27,PIT,145,614.0,2.9,6750000.0,*8D/7H,reynobr01,2022
Austin Riley,25,ATL,159,693.0,6.5,3950000.0,*5/3H,rileyau01,2022
Anthony Rizzo*,32,NYY,130,548.0,2.3,16000000.0,*3/DH,rizzoan01,2022
Julio Rodríguez,21,SEA,132,560.0,6.2,700000.0,*8/DH,rodriju01,2022
Miguel Rojas,33,MIA,140,507.0,2.5,5000000.0,*63/H,rojasmi02,2022
Amed Rosario,26,CLE,153,670.0,4.2,4950000.0,*6/D7H,rosaram01,2022
Carlos Santana#,36,2TM,131,506.0,1.1,10500000.0,3D/H9,santaca01,2022
Anthony Santander#,27,BAL,152,647.0,2.1,3150000.0,*97D/H,santaan02,2022
Jonathan Schoop,30,DET,131,510.0,0.1,7500000.0,*4/3HD,schoojo01,2022
Kyle Schwarber*,29,PHI,155,669.0,2.2,19000000.0,*7D/H,schwaky01,2022
Corey Seager*,28,TEX,151,663.0,3.9,33000000.0,*6/D,seageco01,2022
Marcus Semien,31,TEX,161,724.0,5.7,25000000.0,*46,semiema01,2022
Juan Soto*,23,2TM,153,664.0,5.6,17100000.0,*9/DH,sotoju01,2022
George Springer,32,TOR,133,583.0,4.0,29666666.0,8D9/H,springe01,2022
Myles Straw,27,CLE,152,596.0,2.7,1650000.0,*8/H,strawmy01,2022
Dansby Swanson,28,ATL,162,696.0,5.7,10000000.0,*6,swansda01,2022
Rowdy Tellez*,27,MIL,153,599.0,0.8,1940000.0,*3H/D,tellero01,2022
Gleyber Torres,25,NYY,140,572.0,4.1,6250000.0,*4/DH6,torregl01,2022
Justin Turner,37,LAD,128,532.0,2.0,20000000.0,5D/H,turneju01,2022
Trea Turner,29,LAD,160,708.0,4.9,21000000.0,*6,turnetr01,2022
Gio Urshela,30,MIN,144,551.0,3.1,6550000.0,*5/DH6,urshegi01,2022
Alex Verdugo*,26,BOS,152,644.0,1.1,3550000.0,*79/DH,verdual01,2022
Luke Voit,31,2TM,135,568.0,0.8,5450000.0,D3/H,voitlu01,2022
Christian Walker,31,ARI,160,667.0,5.1,2600000.0,*3D/H,walkech02,2022
Jesse Winker*,28,SEA,136,547.0,-0.3,6250000.0,*7D/H,winkeje01,2022
Mike Yastrzemski*,31,SFG,148,558.0,1.9,3700000.0,*98H/D,yastrmi01,2022
Christian Yelich*,30,MIL,154,671.0,2.7,26000000.0,*7D/H,yelicch01,2022
